date,year,month,week_number,district,state,total_calls,fever_calls,accident_calls,cardiac_calls,other_calls
2015-01-01,2015,1,1,Ariyalur,Tamil Nadu,29,10,8,3,8
2015-01-02,2015,1,1,Ariyalur,Tamil Nadu,46,16,13,5,12
2015-01-03,2015,1,1,Ariyalur,Tamil Nadu,43,15,11,6,11
2015-01-04,2015,1,1,Ariyalur,Tamil Nadu,15,5,3,1,6
2015-01-05,2015,1,2,Ariyalur,Tamil Nadu,28,12,6,2,8
2015-01-06,2015,1,2,Ariyalur,Tamil Nadu,55,23,15,6,11
2015-01-07,2015,1,2,Ariyalur,Tamil Nadu,55,23,15,7,10
2015-01-08,2015,1,2,Ariyalur,Tamil Nadu,25,12,7,3,3
2015-01-09,2015,1,2,Ariyalur,Tamil Nadu,25,9,5,3,8
2015-01-10,2015,1,2,Ariyalur,Tamil Nadu,28,9,8,3,8
2015-01-11,2015,1,2,Ariyalur,Tamil Nadu,26,10,5,3,8
2015-01-12,2015,1,3,Ariyalur,Tamil Nadu,63,29,18,9,7
2015-01-13,2015,1,3,Ariyalur,Tamil Nadu,38,15,9,4,10
2015-01-14,2015,1,3,Ariyalur,Tamil Nadu,54,22,12,7,13
2015-01-15,2015,1,3,Ariyalur,Tamil Nadu,59,26,13,6,14
2015-01-16,2015,1,3,Ariyalur,Tamil Nadu,30,14,8,3,5
2015-01-17,2015,1,3,Ariyalur,Tamil Nadu,35,13,9,4,9
2015-01-18,2015,1,3,Ariyalur,Tamil Nadu,39,15,8,5,11
2015-01-19,2015,1,4,Ariyalur,Tamil Nadu,28,10,6,3,9
2015-01-20,2015,1,4,Ariyalur,Tamil Nadu,26,11,7,3,5
2015-01-21,2015,1,4,Ariyalur,Tamil Nadu,28,13,7,3,5
2015-01-22,2015,1,4,Ariyalur,Tamil Nadu,36,15,8,3,10
2015-01-23,2015,1,4,Ariyalur,Tamil Nadu,31,15,7,3,6
2015-01-24,2015,1,4,Ariyalur,Tamil Nadu,22,8,5,3,6
2015-01-25,2015,1,4,Ariyalur,Tamil Nadu,22,9,5,3,5
2015-01-26,2015,1,5,Ariyalur,Tamil Nadu,34,15,9,4,6
2015-01-27,2015,1,5,Ariyalur,Tamil Nadu,32,15,7,3,7
2015-01-28,2015,1,5,Ariyalur,Tamil Nadu,47,17,10,5,15
2015-01-29,2015,1,5,Ariyalur,Tamil Nadu,43,17,9,5,12
2015-01-30,2015,1,5,Ariyalur,Tamil Nadu,52,19,12,7,14
2015-01-31,2015,1,5,Ariyalur,Tamil Nadu,36,15,8,3,10
2015-02-01,2015,2,5,Ariyalur,Tamil Nadu,38,14,9,4,11
2015-02-02,2015,2,6,Ariyalur,Tamil Nadu,35,13,10,4,8
2015-02-03,2015,2,6,Ariyalur,Tamil Nadu,34,16,7,3,8
2015-02-04,2015,2,6,Ariyalur,Tamil Nadu,25,10,6,2,7
2015-02-05,2015,2,6,Ariyalur,Tamil Nadu,35,16,8,4,7
2015-02-06,2015,2,6,Ariyalur,Tamil Nadu,19,8,5,2,4
2015-02-07,2015,2,6,Ariyalur,Tamil Nadu,31,11,8,4,8
2015-02-08,2015,2,6,Ariyalur,Tamil Nadu,29,13,6,3,7
2015-02-09,2015,2,7,Ariyalur,Tamil Nadu,24,9,7,2,6
2015-02-10,2015,2,7,Ariyalur,Tamil Nadu,44,16,11,5,12
2015-02-11,2015,2,7,Ariyalur,Tamil Nadu,22,10,5,2,5
2015-02-12,2015,2,7,Ariyalur,Tamil Nadu,18,8,4,2,4
2015-02-13,2015,2,7,Ariyalur,Tamil Nadu,35,14,9,5,7
2015-02-14,2015,2,7,Ariyalur,Tamil Nadu,31,14,8,4,5
2015-02-15,2015,2,7,Ariyalur,Tamil Nadu,17,7,3,1,6
2015-02-16,2015,2,8,Ariyalur,Tamil Nadu,19,7,4,2,6
2015-02-17,2015,2,8,Ariyalur,Tamil Nadu,17,6,4,1,6
2015-02-18,2015,2,8,Ariyalur,Tamil Nadu,31,12,8,4,7
2015-02-19,2015,2,8,Ariyalur,Tamil Nadu,15,6,3,1,5
2015-02-20,2015,2,8,Ariyalur,Tamil Nadu,50,20,14,6,10
2015-02-21,2015,2,8,Ariyalur,Tamil Nadu,12,5,3,1,3
2015-02-22,2015,2,8,Ariyalur,Tamil Nadu,38,14,7,5,12
2015-02-23,2015,2,9,Ariyalur,Tamil Nadu,35,14,7,5,9
2015-02-24,2015,2,9,Ariyalur,Tamil Nadu,35,17,8,5,5
2015-02-25,2015,2,9,Ariyalur,Tamil Nadu,19,6,4,2,7
2015-02-26,2015,2,9,Ariyalur,Tamil Nadu,14,5,3,2,4
2015-02-27,2015,2,9,Ariyalur,Tamil Nadu,45,16,9,6,14
2015-02-28,2015,2,9,Ariyalur,Tamil Nadu,28,11,8,3,6
2015-03-01,2015,3,9,Ariyalur,Tamil Nadu,11,5,2,1,3
2015-03-02,2015,3,10,Ariyalur,Tamil Nadu,43,20,12,5,6
2015-03-03,2015,3,10,Ariyalur,Tamil Nadu,40,15,8,4,13
2015-03-04,2015,3,10,Ariyalur,Tamil Nadu,31,12,7,3,9
2015-03-05,2015,3,10,Ariyalur,Tamil Nadu,38,15,8,5,10
2015-03-06,2015,3,10,Ariyalur,Tamil Nadu,36,12,7,5,12
2015-03-07,2015,3,10,Ariyalur,Tamil Nadu,31,12,8,3,8
2015-03-08,2015,3,10,Ariyalur,Tamil Nadu,22,7,4,2,9
2015-03-09,2015,3,11,Ariyalur,Tamil Nadu,30,11,6,4,9
2015-03-10,2015,3,11,Ariyalur,Tamil Nadu,22,10,4,2,6
2015-03-11,2015,3,11,Ariyalur,Tamil Nadu,34,12,7,4,11
2015-03-12,2015,3,11,Ariyalur,Tamil Nadu,25,9,5,2,9
2015-03-13,2015,3,11,Ariyalur,Tamil Nadu,38,14,11,5,8
2015-03-14,2015,3,11,Ariyalur,Tamil Nadu,39,16,10,4,9
