date,year,month,week_number,district,state,total_opd,fever_opd,diarrhea_opd,respiratory_opd,other_opd
2015-01-01,2015,1,1,Ariyalur,Tamil Nadu,203,80,35,31,57
2015-01-02,2015,1,1,Ariyalur,Tamil Nadu,274,96,50,31,97
2015-01-03,2015,1,1,Ariyalur,Tamil Nadu,146,61,21,17,47
2015-01-05,2015,1,2,Ariyalur,Tamil Nadu,209,93,26,22,68
2015-01-06,2015,1,2,Ariyalur,Tamil Nadu,228,88,38,27,75
2015-01-07,2015,1,2,Ariyalur,Tamil Nadu,201,81,23,26,71
2015-01-08,2015,1,2,Ariyalur,Tamil Nadu,258,88,51,38,81
2015-01-09,2015,1,2,Ariyalur,Tamil Nadu,226,68,36,32,90
2015-01-10,2015,1,2,Ariyalur,Tamil Nadu,89,27,9,15,38
2015-01-12,2015,1,3,Ariyalur,Tamil Nadu,227,87,37,22,81
2015-01-13,2015,1,3,Ariyalur,Tamil Nadu,150,63,15,17,55
2015-01-14,2015,1,3,Ariyalur,Tamil Nadu,105,34,11,18,42
2015-01-15,2015,1,3,Ariyalur,Tamil Nadu,176,71,29,30,46
2015-01-16,2015,1,3,Ariyalur,Tamil Nadu,147,63,25,15,44
2015-01-17,2015,1,3,Ariyalur,Tamil Nadu,95,37,12,14,32
2015-01-19,2015,1,4,Ariyalur,Tamil Nadu,106,40,11,15,40
2015-01-20,2015,1,4,Ariyalur,Tamil Nadu,107,43,14,13,37
2015-01-21,2015,1,4,Ariyalur,Tamil Nadu,245,74,41,25,105
2015-01-22,2015,1,4,Ariyalur,Tamil Nadu,250,91,48,43,68
2015-01-23,2015,1,4,Ariyalur,Tamil Nadu,187,80,27,31,49
2015-01-24,2015,1,4,Ariyalur,Tamil Nadu,104,34,18,15,37
2015-01-26,2015,1,5,Ariyalur,Tamil Nadu,150,61,16,23,50
2015-01-27,2015,1,5,Ariyalur,Tamil Nadu,190,57,34,29,70
2015-01-28,2015,1,5,Ariyalur,Tamil Nadu,118,38,18,13,49
2015-01-29,2015,1,5,Ariyalur,Tamil Nadu,122,54,17,15,36
2015-01-30,2015,1,5,Ariyalur,Tamil Nadu,259,86,33,30,110
2015-01-31,2015,1,5,Ariyalur,Tamil Nadu,78,31,12,10,25
2015-02-02,2015,2,6,Ariyalur,Tamil Nadu,147,57,23,18,49
2015-02-03,2015,2,6,Ariyalur,Tamil Nadu,177,78,20,29,50
2015-02-04,2015,2,6,Ariyalur,Tamil Nadu,105,34,11,13,47
2015-02-05,2015,2,6,Ariyalur,Tamil Nadu,211,66,32,35,78
2015-02-06,2015,2,6,Ariyalur,Tamil Nadu,195,70,36,20,69
2015-02-07,2015,2,6,Ariyalur,Tamil Nadu,150,67,28,22,33
2015-02-09,2015,2,7,Ariyalur,Tamil Nadu,155,65,17,16,57
2015-02-10,2015,2,7,Ariyalur,Tamil Nadu,163,49,21,16,77
2015-02-11,2015,2,7,Ariyalur,Tamil Nadu,150,65,25,16,44
2015-02-12,2015,2,7,Ariyalur,Tamil Nadu,250,88,27,39,96
2015-02-13,2015,2,7,Ariyalur,Tamil Nadu,204,63,21,36,84
2015-02-14,2015,2,7,Ariyalur,Tamil Nadu,124,42,19,22,41
2015-02-16,2015,2,8,Ariyalur,Tamil Nadu,165,65,24,19,57
2015-02-17,2015,2,8,Ariyalur,Tamil Nadu,222,71,37,30,84
2015-02-18,2015,2,8,Ariyalur,Tamil Nadu,244,88,44,36,76
2015-02-19,2015,2,8,Ariyalur,Tamil Nadu,105,38,19,18,30
2015-02-20,2015,2,8,Ariyalur,Tamil Nadu,110,47,18,12,33
2015-02-21,2015,2,8,Ariyalur,Tamil Nadu,65,21,11,7,26
2015-02-23,2015,2,9,Ariyalur,Tamil Nadu,195,76,23,33,63
2015-02-24,2015,2,9,Ariyalur,Tamil Nadu,122,44,18,20,40
2015-02-25,2015,2,9,Ariyalur,Tamil Nadu,216,69,35,30,82
2015-02-26,2015,2,9,Ariyalur,Tamil Nadu,118,50,13,12,43
2015-02-27,2015,2,9,Ariyalur,Tamil Nadu,144,44,18,15,67
2015-02-28,2015,2,9,Ariyalur,Tamil Nadu,149,64,16,18,51
2015-03-02,2015,3,10,Ariyalur,Tamil Nadu,128,48,22,17,41
