date,year,month,week_number,day_of_year,district,state,rainfall_mm
2015-01-01,2015,1,1,1,Ariyalur,Tamil Nadu,0.94
2015-01-02,2015,1,1,2,Ariyalur,Tamil Nadu,6.02
2015-01-03,2015,1,1,3,Ariyalur,Tamil Nadu,2.63
2015-01-04,2015,1,1,4,Ariyalur,Tamil Nadu,1.83
2015-01-05,2015,1,2,5,Ariyalur,Tamil Nadu,0.34
2015-01-06,2015,1,2,6,Ariyalur,Tamil Nadu,0.34
2015-01-07,2015,1,2,7,Ariyalur,Tamil Nadu,0.12
2015-01-08,2015,1,2,8,Ariyalur,Tamil Nadu,4.02
2015-01-09,2015,1,2,9,Ariyalur,Tamil Nadu,1.84
2015-01-10,2015,1,2,10,Ariyalur,Tamil Nadu,2.46
2015-01-11,2015,1,2,11,Ariyalur,Tamil Nadu,0.04
2015-01-12,2015,1,3,12,Ariyalur,Tamil Nadu,7.01
2015-01-13,2015,1,3,13,Ariyalur,Tamil Nadu,3.57
2015-01-14,2015,1,3,14,Ariyalur,Tamil Nadu,0.48
2015-01-15,2015,1,3,15,Ariyalur,Tamil Nadu,0.4
2015-01-16,2015,1,3,16,Ariyalur,Tamil Nadu,0.41
2015-01-17,2015,1,3,17,Ariyalur,Tamil Nadu,0.73
2015-01-18,2015,1,3,18,Ariyalur,Tamil Nadu,1.49
2015-01-19,2015,1,4,19,Ariyalur,Tamil Nadu,1.13
2015-01-20,2015,1,4,20,Ariyalur,Tamil Nadu,0.69
2015-01-21,2015,1,4,21,Ariyalur,Tamil Nadu,1.89
2015-01-22,2015,1,4,22,Ariyalur,Tamil Nadu,0.3
2015-01-23,2015,1,4,23,Ariyalur,Tamil Nadu,0.69
2015-01-24,2015,1,4,24,Ariyalur,Tamil Nadu,0.91
2015-01-25,2015,1,4,25,Ariyalur,Tamil Nadu,1.22
2015-01-26,2015,1,5,26,Ariyalur,Tamil Nadu,3.08
2015-01-27,2015,1,5,27,Ariyalur,Tamil Nadu,0.45
2015-01-28,2015,1,5,28,Ariyalur,Tamil Nadu,1.44
2015-01-29,2015,1,5,29,Ariyalur,Tamil Nadu,1.8
2015-01-30,2015,1,5,30,Ariyalur,Tamil Nadu,0.1
2015-01-31,2015,1,5,31,Ariyalur,Tamil Nadu,1.87
2015-02-01,2015,2,5,32,Ariyalur,Tamil Nadu,0.37
2015-02-02,2015,2,6,33,Ariyalur,Tamil Nadu,0.13
2015-02-03,2015,2,6,34,Ariyalur,Tamil Nadu,5.95
2015-02-04,2015,2,6,35,Ariyalur,Tamil Nadu,6.74
2015-02-05,2015,2,6,36,Ariyalur,Tamil Nadu,3.3
2015-02-06,2015,2,6,37,Ariyalur,Tamil Nadu,0.73
2015-02-07,2015,2,6,38,Ariyalur,Tamil Nadu,0.21
2015-02-08,2015,2,6,39,Ariyalur,Tamil Nadu,2.31
2015-02-09,2015,2,7,40,Ariyalur,Tamil Nadu,1.16
2015-02-10,2015,2,7,41,Ariyalur,Tamil Nadu,0.26
2015-02-11,2015,2,7,42,Ariyalur,Tamil Nadu,1.37
2015-02-12,2015,2,7,43,Ariyalur,Tamil Nadu,0.07
2015-02-13,2015,2,7,44,Ariyalur,Tamil Nadu,4.8
2015-02-14,2015,2,7,45,Ariyalur,Tamil Nadu,0.6
2015-02-15,2015,2,7,46,Ariyalur,Tamil Nadu,2.17
2015-02-16,2015,2,8,47,Ariyalur,Tamil Nadu,0.75
2015-02-17,2015,2,8,48,Ariyalur,Tamil Nadu,1.47
2015-02-18,2015,2,8,49,Ariyalur,Tamil Nadu,1.58
2015-02-19,2015,2,8,50,Ariyalur,Tamil Nadu,0.41
2015-02-20,2015,2,8,51,Ariyalur,Tamil Nadu,6.99
2015-02-21,2015,2,8,52,Ariyalur,Tamil Nadu,2.98
2015-02-22,2015,2,8,53,Ariyalur,Tamil Nadu,5.61
2015-02-23,2015,2,9,54,Ariyalur,Tamil Nadu,4.5
2015-02-24,2015,2,9,55,Ariyalur,Tamil Nadu,1.82
2015-02-25,2015,2,9,56,Ariyalur,Tamil Nadu,5.1
2015-02-26,2015,2,9,57,Ariyalur,Tamil Nadu,0.19
2015-02-27,2015,2,9,58,Ariyalur,Tamil Nadu,0.44
2015-02-28,2015,2,9,59,Ariyalur,Tamil Nadu,0.09
2015-03-01,2015,3,9,60,Ariyalur,Tamil Nadu,0.79
2015-03-02,2015,3,10,61,Ariyalur,Tamil Nadu,0.98
2015-03-03,2015,3,10,62,Ariyalur,Tamil Nadu,0.63
2015-03-04,2015,3,10,63,Ariyalur,Tamil Nadu,3.53
2015-03-05,2015,3,10,64,Ariyalur,Tamil Nadu,0.88
2015-03-06,2015,3,10,65,Ariyalur,Tamil Nadu,0.66
2015-03-07,2015,3,10,66,Ariyalur,Tamil Nadu,1.56
2015-03-08,2015,3,10,67,Ariyalur,Tamil Nadu,0.3
2015-03-09,2015,3,11,68,Ariyalur,Tamil Nadu,3.24
